"chr","start","end","Level"
"chr3",10000,120000,3
"chr3",170000,280000,3
"chr3",600000,700000,3
"chr3",760000,860000,3
"chr3",1180000,1280000,3
"chr3",1660000,1770000,3
"chr3",2410000,2520000,3
"chr3",2770000,2870000,3
"chr3",2930000,3030000,3
"chr3",3140000,3250000,3
"chr3",3440000,3540000,3
"chr3",3760000,3860000,3
"chr3",4410000,4510000,3
"chr3",5520000,5620000,3
"chr3",6270000,6380000,3
"chr3",7030000,7130000,3
"chr3",7120000,7220000,3
"chr3",7420000,7520000,3
"chr3",7510000,7620000,3
"chr3",7920000,8020000,3
"chr3",9940000,10040000,3
"chr3",10770000,10880000,3
"chr3",10870000,10970000,3
"chr3",11000000,11100000,3
"chr3",11140000,11250000,3
"chr3",11520000,11630000,3
"chr3",12680000,12780000,3
"chr3",12840000,12950000,3
"chr3",13150000,13250000,3
"chr3",13610000,13720000,3
"chr3",14270000,14370000,3
"chr3",14570000,14670000,3
"chr3",14730000,14840000,3
"chr3",15010000,15110000,3
"chr3",15880000,15990000,3
"chr3",15980000,16080000,3
"chr3",16270000,16380000,3
"chr3",16570000,16680000,3
"chr3",16790000,16900000,3
"chr3",17050000,17150000,3
"chr3",17810000,17910000,3
"chr3",17970000,18070000,3
"chr3",18800000,18900000,3
"chr3",18890000,18990000,3
"chr3",20570000,20670000,3
"chr3",20810000,20910000,3
"chr3",21480000,21580000,3
"chr3",21710000,21820000,3
"chr3",22240000,22340000,3
"chr3",23030000,23140000,3
"chr3",23350000,23450000,3
"chr3",23440000,23540000,3
"chr3",24540000,24650000,3
"chr3",24770000,24880000,3
"chr3",24940000,25040000,3
"chr3",26070000,26180000,3
"chr3",26170000,26270000,3
"chr3",27650000,27750000,3
"chr3",28620000,28730000,3
"chr3",29200000,29300000,3
"chr3",29430000,29540000,3
"chr3",30050000,30150000,3
"chr3",30140000,30240000,3
"chr3",30410000,30520000,3
"chr3",31820000,31930000,3
"chr3",31920000,32020000,3
"chr3",32350000,32450000,3
"chr3",32670000,32770000,3
"chr3",32760000,32860000,3
"chr3",34020000,34120000,3
"chr3",34530000,34630000,3
"chr3",35230000,35340000,3
"chr3",36070000,36170000,3
"chr3",36410000,36520000,3
"chr3",36510000,36610000,3
"chr3",36600000,36730000,3
"chr3",36880000,36980000,3
"chr3",37910000,38010000,3
"chr3",38280000,38390000,3
"chr3",39070000,39180000,3
"chr3",39290000,39400000,3
"chr3",39390000,39490000,3
