"chr","start","end","Level"
"chr3",420000,520000,3
"chr3",3060000,3170000,3
"chr3",5020000,5120000,3
"chr3",5170000,5270000,3
"chr3",5260000,5360000,3
"chr3",5950000,6050000,3
"chr3",6150000,6250000,3
"chr3",6450000,6550000,3
"chr3",7060000,7170000,3
"chr3",7590000,7700000,3
"chr3",7690000,7790000,3
"chr3",7820000,7920000,3
"chr3",8280000,8380000,3
"chr3",9010000,9110000,3
"chr3",9900000,10000000,3
"chr3",9990000,10090000,3
"chr3",10360000,10460000,3
"chr3",10450000,10560000,3
"chr3",11010000,11110000,3
"chr3",11100000,11200000,3
"chr3",11990000,12100000,3
"chr3",12600000,12710000,3
"chr3",13030000,13140000,3
"chr3",13430000,13530000,3
"chr3",13600000,13710000,3
"chr3",14050000,14160000,3
"chr3",14150000,14250000,3
"chr3",14420000,14520000,3
"chr3",14510000,14610000,3
"chr3",14600000,14700000,3
"chr3",16290000,16400000,3
"chr3",16390000,16500000,3
"chr3",17240000,17340000,3
"chr3",17790000,17890000,3
"chr3",18020000,18120000,3
"chr3",18240000,18340000,3
"chr3",18330000,18440000,3
"chr3",18480000,18590000,3
"chr3",19190000,19290000,3
"chr3",19410000,19510000,3
"chr3",19700000,19800000,3
"chr3",19980000,20090000,3
"chr3",21150000,21250000,3
"chr3",22590000,22700000,3
"chr3",22920000,23020000,3
"chr3",23750000,23860000,3
"chr3",23850000,23950000,3
"chr3",23940000,24050000,3
"chr3",24110000,24210000,3
"chr3",24730000,24830000,3
"chr3",25460000,25560000,3
"chr3",27530000,27630000,3
"chr3",27620000,27740000,3
"chr3",28290000,28400000,3
"chr3",29580000,29690000,3
"chr3",29810000,29920000,3
"chr3",29980000,30090000,3
"chr3",30080000,30180000,3
"chr3",30390000,30500000,3
"chr3",30550000,30660000,3
"chr3",30810000,30910000,3
"chr3",31820000,31920000,3
"chr3",32290000,32390000,3
"chr3",32620000,32720000,3
"chr3",32820000,32930000,3
"chr3",32990000,33100000,3
"chr3",33320000,33430000,3
"chr3",33680000,33780000,3
"chr3",33830000,33930000,3
"chr3",34830000,34930000,3
"chr3",34960000,35060000,3
"chr3",36190000,36300000,3
"chr3",36750000,36850000,3
"chr3",36920000,37020000,3
"chr3",37040000,37150000,3
"chr3",37730000,37840000,3
"chr3",38170000,38310000,3
"chr3",38300000,38410000,3
"chr3",38610000,38710000,3
"chr3",38890000,39000000,3
"chr3",39070000,39170000,3
"chr3",40620000,40730000,3
"chr3",40760000,40860000,3
"chr3",41140000,41250000,3
"chr3",41300000,41410000,3
