"chr","start","end","Level"
"chr3",70000,180000,3
"chr3",670000,770000,3
"chr3",1240000,1350000,3
"chr3",1340000,1440000,3
"chr3",1640000,1740000,3
"chr3",1980000,2090000,3
"chr3",2080000,2190000,3
"chr3",2260000,2370000,3
"chr3",2760000,2870000,3
"chr3",3200000,3310000,3
"chr3",3480000,3580000,3
"chr3",4160000,4260000,3
"chr3",4250000,4360000,3
"chr3",4350000,4450000,3
"chr3",4780000,4890000,3
"chr3",5710000,5820000,3
"chr3",5990000,6090000,3
"chr3",6240000,6340000,3
"chr3",6550000,6660000,3
"chr3",6880000,7000000,3
"chr3",6990000,7090000,3
"chr3",6990000,7090000,3
"chr3",8680000,8780000,3
"chr3",8840000,8950000,3
"chr3",9010000,9110000,3
"chr3",9680000,9780000,3
"chr3",10020000,10130000,3
"chr3",11040000,11140000,3
"chr3",11540000,11640000,3
"chr3",13170000,13280000,3
"chr3",13570000,13670000,3
"chr3",13800000,13900000,3
"chr3",14240000,14350000,3
"chr3",14340000,14440000,3
"chr3",15240000,15350000,3
"chr3",15490000,15600000,3
"chr3",15650000,15750000,3
"chr3",16040000,16160000,3
"chr3",16660000,16760000,3
"chr3",17810000,17920000,3
"chr3",18310000,18420000,3
"chr3",19850000,19960000,3
"chr3",19950000,20050000,3
"chr3",20160000,20260000,3
"chr3",20250000,20350000,3
"chr3",21060000,21170000,3
"chr3",22280000,22380000,3
"chr3",22430000,22530000,3
"chr3",22520000,22630000,3
"chr3",23020000,23120000,3
"chr3",23540000,23640000,3
"chr3",24500000,24600000,3
"chr3",24920000,25030000,3
"chr3",25150000,25260000,3
"chr3",25680000,25780000,3
"chr3",25770000,25880000,3
"chr3",25990000,26090000,3
"chr3",26500000,26600000,3
"chr3",27050000,27160000,3
"chr3",27150000,27250000,3
"chr3",27460000,27560000,3
"chr3",27550000,27650000,3
"chr3",29080000,29180000,3
"chr3",29240000,29340000,3
"chr3",29390000,29500000,3
"chr3",30170000,30280000,3
"chr3",31030000,31130000,3
"chr3",31560000,31670000,3
"chr3",32380000,32480000,3
"chr3",33180000,33290000,3
"chr3",33410000,33510000,3
"chr3",35290000,35390000,3
"chr3",35570000,35670000,3
"chr3",36670000,36770000,3
"chr3",37070000,37180000,3
"chr3",37250000,37350000,3
"chr3",37460000,37570000,3
"chr3",37600000,37710000,3
"chr3",37700000,37810000,3
"chr3",37810000,37910000,3
"chr3",37900000,38000000,3
"chr3",38390000,38490000,3
"chr3",38480000,38580000,3
"chr3",39290000,39390000,3
"chr3",39540000,39650000,3
"chr3",40060000,40160000,3
"chr3",40150000,40250000,3
"chr3",40460000,40560000,3
"chr3",40630000,40740000,3
"chr3",42190000,42290000,3
"chr3",42280000,42380000,3
"chr3",42730000,42830000,3
"chr3",43400000,43500000,3
"chr3",44150000,44260000,3
"chr3",44880000,44990000,3
"chr3",45250000,45360000,3
"chr3",45350000,45450000,3
"chr3",45560000,45660000,3
"chr3",46760000,46860000,3
"chr3",46850000,46950000,3
"chr3",46940000,47050000,3
"chr3",47840000,47950000,3
"chr3",48010000,48120000,3
"chr3",48110000,48210000,3
"chr3",49490000,49590000,3
"chr3",52780000,52890000,3
"chr3",53580000,53690000,3
"chr3",53870000,53970000,3
"chr3",54260000,54360000,3
"chr3",54570000,54680000,3
"chr3",54670000,54780000,3
"chr3",54930000,55040000,3
"chr3",55100000,55200000,3
"chr3",55190000,55300000,3
"chr3",55470000,55580000,3
"chr3",56310000,56420000,3
"chr3",56410000,56510000,3
"chr3",56820000,56920000,3
"chr3",57020000,57130000,3
"chr3",57250000,57350000,3
"chr3",57890000,57990000,3
"chr3",60000000,60100000,3
"chr3",60810000,60920000,3
"chr3",60910000,61010000,3
"chr3",61550000,61650000,3
"chr3",62570000,62680000,3
"chr3",64310000,64410000,3
"chr3",64710000,64820000,3
"chr3",64860000,64960000,3
"chr3",65000000,65110000,3
"chr3",65170000,65280000,3
"chr3",66280000,66390000,3
"chr3",67260000,67370000,3
"chr3",67640000,67750000,3
"chr3",68410000,68520000,3
"chr3",68850000,68960000,3
"chr3",68950000,69050000,3
"chr3",69040000,69140000,3
"chr3",70040000,70150000,3
"chr3",70140000,70240000,3
"chr3",70880000,70980000,3
"chr3",71050000,71150000,3
"chr3",71780000,71880000,3
"chr3",73230000,73340000,3
"chr3",74640000,74750000,3
"chr3",75390000,75490000,3
"chr3",75870000,75970000,3
"chr3",76240000,76350000,3
"chr3",76400000,76510000,3
"chr3",76910000,77020000,3
"chr3",77590000,77690000,3
"chr3",77680000,77790000,3
"chr3",77880000,77980000,3
"chr3",78290000,78530000,3
"chr3",78530000,78630000,3
"chr3",78880000,78990000,3
"chr3",79250000,79360000,3
"chr3",79430000,79540000,3
"chr3",79700000,79810000,3
"chr3",80770000,80870000,3
"chr3",81300000,81400000,3
"chr3",82500000,82610000,3
"chr3",82600000,82700000,3
"chr3",82770000,82880000,3
"chr3",83630000,83740000,3
"chr3",83730000,83830000,3
"chr3",83940000,84050000,3
"chr3",84040000,84200000,3
"chr3",84200000,84300000,3
"chr3",84290000,84390000,3
"chr3",85330000,85430000,3
"chr3",86870000,86980000,3
"chr3",86970000,87080000,3
"chr3",87070000,87170000,3
"chr3",87420000,87530000,3
"chr3",87830000,87950000,3
"chr3",87940000,88040000,3
"chr3",89300000,89400000,3
"chr3",89750000,89870000,3
"chr3",89860000,89960000,3
"chr3",89950000,90050000,3
"chr3",90260000,90370000,3
"chr3",90420000,90530000,3
"chr3",90580000,90690000,3
"chr3",90950000,91060000,3
"chr3",91370000,91480000,3
"chr3",91470000,91570000,3
"chr3",91560000,91660000,3
"chr3",93480000,93590000,3
"chr3",93890000,93990000,3
"chr3",93980000,94080000,3
"chr3",94070000,94180000,3
"chr3",94320000,94430000,3
"chr3",94960000,95060000,3
"chr3",95050000,95150000,3
"chr3",95390000,95490000,3
"chr3",95920000,96020000,3
"chr3",96330000,96440000,3
"chr3",96430000,96530000,3
