"","Level_1.chr","Level_1.start","Level_1.end","Level_1.Level"
"1",6,120000,180000,1
"2",6,180000,300000,1
"3",6,300000,380000,1
"4",6,380000,580000,1
"5",6,580000,710000,1
"6",6,710000,800000,1
"7",6,800000,920000,1
"8",6,920000,1070000,1
"9",6,1070000,1180000,1
"10",6,1180000,1320000,1
"11",6,1320000,1460000,1
"12",6,1460000,1600000,1
"13",6,1600000,1710000,1
"14",6,1710000,1840000,1
"15",6,1840000,1960000,1
"16",6,1960000,2100000,1
"17",6,2100000,2200000,1
"18",6,2200000,2360000,1
"19",6,2360000,2450000,1
"20",6,2450000,2640000,1
"21",6,2640000,2760000,1
"22",6,2760000,2940000,1
"23",6,2940000,3070000,1
"24",6,3070000,3260000,1
"25",6,3260000,3410000,1
"26",6,3410000,3520000,1
"27",6,3520000,3740000,1
"28",6,3740000,3850000,1
"29",6,3850000,4020000,1
"30",6,4020000,4160000,1
"31",6,4160000,4310000,1
"32",6,4310000,4440000,1
"33",6,4440000,4580000,1
"34",6,4580000,4780000,1
"35",6,4780000,4950000,1
"36",6,4950000,5090000,1
"37",6,5090000,5140000,1
"38",6,5140000,5290000,1
"39",6,5290000,5410000,1
"40",6,5410000,5540000,1
"41",6,5540000,5670000,1
"42",6,5670000,5780000,1
"43",6,5780000,5890000,1
"44",6,5890000,6010000,1
"45",6,6010000,6120000,1
"46",6,6120000,6270000,1
"47",6,6280000,6550000,1
"48",6,6550000,6670000,1
"49",6,6670000,6780000,1
"50",6,6780000,6920000,1
"51",6,6920000,6980000,1
"52",6,6980000,7040000,1
"53",6,7040000,7110000,1
"54",6,7110000,7260000,1
"55",6,7260000,7400000,1
"56",6,7400000,7620000,1
"57",6,7620000,7730000,1
"58",6,7730000,7910000,1
"59",6,7910000,8060000,1
"60",6,8060000,8230000,1
"61",6,8230000,8390000,1
"62",6,8390000,8490000,1
"63",6,8490000,8620000,1
"64",6,8620000,8730000,1
"65",6,8730000,8890000,1
"66",6,8890000,8990000,1
"67",6,8990000,9090000,1
"68",6,9090000,9250000,1
"69",6,9250000,9400000,1
"70",6,9400000,9550000,1
"71",6,9550000,9650000,1
"72",6,9650000,9720000,1
"73",6,9720000,9870000,1
"74",6,9870000,10030000,1
"75",6,10030000,10160000,1
"76",6,10160000,10250000,1
"77",6,10250000,10310000,1
"78",6,10310000,10400000,1
"79",6,10400000,10480000,1
"80",6,10480000,10690000,1
"81",6,10690000,10840000,1
"82",6,10840000,10950000,1
"83",6,10950000,11090000,1
"84",6,11090000,11140000,1
"85",6,11140000,11240000,1
"86",6,11240000,11340000,1
"87",6,11340000,11500000,1
"88",6,11500000,11580000,1
"89",6,11580000,11690000,1
"90",6,11690000,11830000,1
"91",6,11830000,12010000,1
"92",6,12010000,12140000,1
"93",6,12140000,12290000,1
"94",6,12290000,12400000,1
"95",6,12400000,12610000,1
"96",6,12610000,12710000,1
"97",6,12710000,12780000,1
"98",6,12780000,12890000,1
"99",6,12890000,13030000,1
"100",6,13030000,13170000,1
"101",6,13170000,13330000,1
"102",6,13330000,13490000,1
"103",6,13490000,13620000,1
"104",6,13620000,13790000,1
"105",6,13790000,13910000,1
"106",6,13910000,14070000,1
"107",6,14070000,14210000,1
"108",6,14210000,14320000,1
"109",6,14320000,14460000,1
"110",6,14460000,14570000,1
"111",6,14570000,14690000,1
"112",6,14690000,14750000,1
"113",6,14750000,14840000,1
"114",6,14840000,14980000,1
"115",6,14980000,15060000,1
"116",6,15060000,15250000,1
"117",6,15250000,15430000,1
"118",6,15430000,15500000,1
"119",6,15500000,15640000,1
"120",6,15640000,15690000,1
"121",6,15690000,15840000,1
"122",6,15840000,15970000,1
"123",6,15970000,16130000,1
"124",6,16130000,16230000,1
"125",6,16230000,16330000,1
"126",6,16330000,16470000,1
"127",6,16470000,16590000,1
"128",6,16590000,16760000,1
"129",6,16760000,16960000,1
"130",6,16960000,17110000,1
"131",6,17150000,17220000,1
"132",6,17220000,17290000,1
"133",6,17290000,17420000,1
"134",6,17420000,17590000,1
"135",6,17600000,17810000,1
"136",6,17810000,17990000,1
"137",6,17990000,18150000,1
"138",6,18150000,18260000,1
